Time,Angle_rad,Center_X,Center_Y,Confidence
2.275,0.257629988,1137.1279,440.2538,1
2.28,0.258159155,1138.2024,440.0675,1
2.285,0.258612686,1139.1232,439.6513,1
2.29,0.258967748,1139.844,439.8124,1
2.295,0.259298998,1140.5164,439.9151,1
2.3,0.259392063,1140.7053,439.9702,1
2.305,0.259395906,1140.7131,440.0607,1
2.31,0.259321808,1140.5627,440.0684,1
2.315,0.259107851,1140.1284,439.4706,1
2.32,0.258814449,1139.5328,440.0127,1
2.325,0.258241405,1138.3694,439.9733,1
2.33,0.257686767,1137.2432,440.3401,1
2.335,0.257115519,1136.0831,440.5514,1
2.34,0.256227819,1134.28,441.2974,1
2.345,0.25542404,1132.647,441.7242,1
2.35,0.254782861,1131.3441,441.9972,1
2.355,0.253760809,1129.2668,442.5461,1
2.36,0.252294451,1126.2855,443.499,1
2.365,0.251205162,1124.0701,444.1292,1
2.37,0.249827049,1121.2664,445.0049,1
2.375,0.248563348,1118.6946,445.765,1
2.38,0.247093438,1115.7021,446.9892,1
2.385,0.245771157,1113.0092,447.9054,1
2.39,0.243842755,1109.0803,449.0571,1
2.395,0.241839304,1104.9965,449.6335,1
2.4,0.240085344,1101.4196,450.5625,1
2.405,0.237967611,1097.0988,451.3594,1
2.41,0.235953274,1092.9869,452.8152,1
2.415,0.233792666,1088.5742,454.1425,1
2.42,0.231385857,1083.656,455.454,1
2.425,0.228896557,1078.5663,456.8715,1
2.43,0.226800185,1074.2777,457.7923,1
2.435,0.224139898,1068.8325,458.711,1
2.44,0.221264018,1062.9423,460.3383,1
2.445,0.218841066,1057.9768,461.9616,1
2.45,0.215939682,1052.0273,463.3986,1
2.455,0.213089253,1046.1786,464.8905,1
2.46,0.209932377,1039.6969,465.9159,1
2.465,0.207110243,1033.8988,466.7674,1
2.47,0.20397141,1027.446,468.8953,1
2.475,0.200553203,1020.4141,470.71,1
2.48,0.197353513,1013.8273,472.4556,1
2.485,0.193870273,1006.652,473.5328,1
2.49,0.190242232,999.1732,475.0748,1
2.495,0.187073386,992.6367,476.2226,1
2.5,0.183343209,984.9373,478.3797,1
2.505,0.179477098,976.9517,480.0287,1
2.51,0.175666703,969.0757,481.5036,1
2.515,0.171785131,961.0471,483.1512,1
2.52,0.16792124,953.0497,484.8589,1
2.525,0.163664197,944.2325,486.4843,1
2.53,0.160119029,936.885,487.6295,1
2.535,0.15572458,927.7715,488.9064,1
2.54,0.151665588,919.3481,490.2027,1
2.545,0.147463001,910.6212,491.7424,1
2.55,0.143427869,902.2369,493.2634,1
2.555,0.138887852,892.7977,494.8235,1
2.56,0.134489826,883.648,496.4822,1
2.565,0.130097922,874.5056,497.4859,1
2.57,0.125267981,864.4453,498.8701,1
2.575,0.120754922,855.0395,500.1337,1
2.58,0.116122033,845.3786,500.9428,1
2.585,0.111312297,835.3434,502.6992,1
2.59,0.106704227,825.7239,503.9832,1
2.595,0.101591471,815.0453,505.0948,1
2.6,0.096928897,805.3021,506.3541,1
2.605,0.092388232,795.8094,507.1278,1
2.61,0.087541197,785.6718,508.5849,1
2.615,0.082502228,775.1282,509.5804,1
2.62,0.077615715,764.8994,510.273,1
2.625,0.072350438,753.8734,511.2752,1
2.63,0.067797355,744.3354,512.3412,1
2.635,0.062374104,732.9707,512.9943,1
2.64,0.057773324,723.3265,513.783,1
2.645,0.052901862,713.1121,513.5125,1
2.65,0.04717869,701.1085,514.2275,1
2.655,0.042288651,690.8497,515.4814,1
2.66,0.037100415,679.963,515.8615,1
2.665,0.032289992,669.8672,516.7758,1
2.67,0.026638103,658.0034,517.2847,1
2.675,0.021704133,647.6451,517.0594,1
2.68,0.016076026,635.8282,517.1589,1
2.685,0.01129824,625.7958,518.0142,1
2.69,0.00591532,614.4921,517.4377,1
2.695,-0.004311347,593.0162,518.7239,1
2.7,-0.010003453,581.0631,517.793,1
2.705,-0.01467886,571.2455,517.844,1
2.71,-0.019907267,560.2675,518.1747,1
2.715,-0.02579367,547.9093,517.4243,1
2.72,-0.030731885,537.5432,516.9496,1
2.725,-0.03558227,527.363,517.5449,1
2.73,-0.041198749,515.5771,517.0185,1
2.735,-0.046275752,504.9256,516.141,1
2.74,-0.051125174,494.7539,516.229,1
2.745,-0.056536686,483.4062,515.3142,1
2.75,-0.061503911,472.9932,514.8109,1
2.755,-0.06653236,462.4551,514.6258,1
2.76,-0.071526401,451.9926,513.3759,1
2.765,-0.076621904,441.3214,512.9335,1
2.77,-0.081823701,430.4319,512.0818,1
2.775,-0.087106637,419.3773,510.3555,1
2.78,-0.09154132,410.1016,509.7253,1
2.785,-0.096760154,399.1906,509.1657,1
2.79,-0.100658705,391.0435,508.4265,1
2.795,-0.105940725,380.0104,506.4329,1
2.8,-0.110965826,369.5197,506.1879,1
2.805,-0.116232636,358.5307,504.515,1
2.81,-0.120893168,348.8123,503.8151,1
2.815,-0.12548305,339.2466,502.7045,1
2.82,-0.129517515,330.843,501.6025,1
2.825,-0.134261626,320.9669,500.9193,1
2.83,-0.138885592,311.347,498.7043,1
2.835,-0.143027965,302.7343,497.9058,1
2.84,-0.147565062,293.3068,496.3898,1
2.845,-0.151629892,284.866,495.1116,1
2.85,-0.155276073,277.299,494.0382,1
2.855,-0.159915524,267.6769,492.2873,1
2.86,-0.164454764,258.2696,490.9433,1
2.865,-0.16830107,250.3039,488.77,1
2.87,-0.172570989,241.467,488.2744,1
2.875,-0.1760691,234.2323,486.5125,1
2.88,-0.180012679,226.0817,485.9974,1
2.885,-0.183697589,218.471,484.1078,1
2.89,-0.187490053,210.6436,483.2631,1
2.895,-0.191072272,203.2553,481.3705,1
