Frame,Time_Sec,Center_X,Center_Y,Angle_rad
403,2.0150,784.0419,315.4152,0.0868
404,2.0200,769.7712,321.1117,0.0799
405,2.0250,753.3846,323.3026,0.0721
406,2.0300,726.6875,331.6800,0.0594
407,2.0350,694.2452,337.9746,0.0439
408,2.0400,661.8354,343.2137,0.0285
409,2.0450,620.2311,350.5407,0.0086
410,2.0500,574.7521,355.3291,-0.0130
411,2.0550,525.8983,360.8647,-0.0363
412,2.0600,473.2937,363.2676,-0.0614
413,2.0650,421.5452,364.0128,-0.0861
414,2.0700,376.7430,363.6938,-0.1075
415,2.0750,325.9016,361.7478,-0.1319
416,2.0800,275.9204,357.6872,-0.1559
417,2.0850,237.1861,353.0384,-0.1746
418,2.0900,193.5222,346.7528,-0.1958
419,2.0950,156.9982,340.7544,-0.2136
420,2.1000,127.9829,335.6259,-0.2277
421,2.1050,101.3261,329.6108,-0.2408
422,2.1100,81.0638,325.5177,-0.2507
423,2.1150,65.5622,323.2606,-0.2583
424,2.1200,59.4017,319.5327,-0.2614
425,2.1250,60.2503,320.0591,-0.2610
426,2.1300,65.0507,322.9773,-0.2586
427,2.1350,79.7333,325.6818,-0.2514
428,2.1400,104.8230,330.1540,-0.2391
429,2.1450,129.8272,335.8603,-0.2268
430,2.1500,163.4663,341.6465,-0.2104
431,2.1550,203.8925,349.2733,-0.1908
432,2.1600,239.9801,353.8722,-0.1733
433,2.1650,286.9236,358.5959,-0.1506
434,2.1700,337.6496,362.3669,-0.1262
435,2.1750,381.9972,363.9477,-0.1050
436,2.1800,432.1779,363.9014,-0.0810
437,2.1850,485.3266,362.5430,-0.0556
438,2.1900,528.6321,359.3734,-0.0350
439,2.1950,576.3441,354.8243,-0.0123
440,2.2000,621.8732,348.7280,0.0094
441,2.2050,656.7697,342.7940,0.0261
442,2.2100,693.9070,337.0171,0.0437
443,2.2150,724.9197,329.4457,0.0585
444,2.2200,747.0616,324.6706,0.0691
445,2.2250,768.8301,319.1099,0.0795
446,2.2300,783.4013,315.1660,0.0865
447,2.2350,788.9358,313.7864,0.0891
448,2.2400,790.0770,313.5732,0.0896
449,2.2450,785.0758,315.0831,0.0873
450,2.2500,774.1874,319.4277,0.0821
451,2.2550,755.4561,325.2263,0.0731
452,2.2600,728.9108,331.0762,0.0604
453,2.2650,702.3041,336.8386,0.0477
454,2.2700,665.3258,342.6398,0.0301
455,2.2750,624.5269,350.2139,0.0107
456,2.2800,586.1118,354.5926,-0.0076
457,2.2850,537.4565,359.5084,-0.0308
458,2.2900,486.4071,363.4850,-0.0551
